Site,# of JS files,JavaScript Files,Full JavaScript Headers,Headers
https://usatoday.com,49,,,
,,https://beacon.krxd.net/optout_check?callback=Krux.ns.gannett.kxjsonp_optOutCheck,"{'Date': 'Thu, 24 Sep 2020 20:21:10 GMT', 'Content-Type': 'text/javascript', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'Cache-Control': 'private, max-age=0, s-max-age=0', 'X-Served-By': 'beacon-n032-ash-prod.krxd.net', 'X-Request-Time': 'D=83 t=1600978867'}","{'Cache-Control': 'private, max-age=0, s-max-age=0'}"
,,https://cdn.krxd.net/userdata/get?pub=e88225a2-3b7b-45e3-9cc2-a3130b91f0db&technographics=1&callback=Krux.ns.gannett.kxjsonp_userdata,"{'Connection': 'keep-alive', 'Content-Length': '238', 'Content-Type': 'text/javascript', 'Cache-Control': 'private, max-age=3600', 'Content-Encoding': 'gzip', 'X-Age': '0', 'X-CDN-Backend': '4FrRTvEr9h480D4BywjehZ--F_userdata_ash_prod_krxd_net___UserData_Service_V2', 'Accept-Ranges': 'bytes', 'Date': 'Thu, 24 Sep 2020 20:21:11 GMT', 'Via': '1.1 varnish', 'Age': '16', 'X-Served-By': 'userdata-a007-ash-prod.krxd.net, cache-mia17627-MIA', 'X-Cache': 'MISS, HIT', 'X-Cache-Hits': '0, 1', 'X-Timer': 'S1600978871.005854,VS0,VE1', 'Vary': 'Accept-Encoding'}","{'Cache-Control': 'private, max-age=3600'}"
,,https://beacon.krxd.net/optout_check?callback=Krux.ns.gannett.kxjsonp_optOutCheck,"{'Date': 'Thu, 24 Sep 2020 20:21:11 GMT', 'Content-Type': 'text/javascript', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'Cache-Control': 'private, max-age=0, s-max-age=0', 'X-Served-By': 'beacon-n013-ash-prod.krxd.net', 'X-Request-Time': 'D=64 t=1600978871'}","{'Cache-Control': 'private, max-age=0, s-max-age=0'}"
,,https://consumer.krxd.net/consent/get/e88225a2-3b7b-45e3-9cc2-a3130b91f0db?idt=device&dt=kxcookie&callback=Krux.ns.gannett.kxjsonp_consent_get_0,"{'Connection': 'keep-alive', 'Content-Length': '192', 'Content-Type': 'text/javascript; charset=UTF-8', 'Cache-Control': 'max-age=1800', 'Content-Encoding': 'gzip', 'X-Age': '0', 'Accept-Ranges': 'bytes', 'Date': 'Thu, 24 Sep 2020 20:21:12 GMT', 'Via': '1.1 varnish', 'Age': '18', 'X-Served-By': 'consumer-a013-ash-prod.krxd.net, cache-mia17649-MIA', 'X-Cache': 'MISS, HIT', 'X-Cache-Hits': '0, 1', 'X-Timer': 'S1600978873.697360,VS0,VE1', 'Vary': 'Accept-Encoding'}",{'Cache-Control': 'max-age=1800'}
,,//cdn.krxd.net/ctjs/controltag.js.840d44399e357e7da3f94ce724fcd35c,{},"{'Last-Modified': 'Mon, 24 Aug 2020 10:19:29 GMT', 'Cache-Control': 'public, max-age=315360000', 'Expires': 'Thu, 22 Aug 2030 10:19:28 GMT'}"
,,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,"{'Accept-Ranges': 'bytes', 'Vary': 'Accept-Encoding', 'Content-Type': 'text/javascript', 'Content-Length': '73747', 'Date': 'Thu, 24 Sep 2020 20:21:13 GMT', 'Expires': 'Thu, 24 Sep 2020 20:21:13 GMT', 'Cache-Control': 'private, max-age=3000', 'ETag': '""1600860702447659""', 'X-Content-Type-Options': 'nosniff', 'Server': 'sffe', 'X-XSS-Protection': '0', 'Alt-Svc': 'h3-Q050=""googleads.g.doubleclick.net:443""; ma=2592000,h3-Q050="":443""; ma=2592000,h3-29=""googleads.g.doubleclick.net:443""; ma=2592000,h3-29="":443""; ma=2592000,h3-27=""googleads.g.doubleclick.net:443""; ma=2592000,h3-27="":443""; ma=2592000,h3-T051=""googleads.g.doubleclick.net:443""; ma=2592000,h3-T051="":443""; ma=2592000,h3-T050=""googleads.g.doubleclick.net:443""; ma=2592000,h3-T050="":443""; ma=2592000,h3-Q046=""googleads.g.doubleclick.net:443""; ma=2592000,h3-Q046="":443""; ma=2592000,h3-Q043=""googleads.g.doubleclick.net:443""; ma=2592000,h3-Q043="":443""; ma=2592000,quic=""googleads.g.doubleclick.net:443""; ma=2592000; v=""46,43"",quic="":443""; ma=2592000; v=""46,43""'}","{'Expires': 'Thu, 24 Sep 2020 20:21:14 GMT', 'Cache-Control': 'private, max-age=3000'}"
,,https://cdn.taboola.com/libtrc/feed-card-placeholder.20200924-16-RELEASE.es6.js,"{'Connection': 'keep-alive', 'Content-Length': '1270', 'x-amz-id-2': 'mkC5UnhQsV2SI8xF5DjCzGDriZR0n0KM+qKMXJvL4vwiINgw6znZE6LnKtzbIl8QgDYWs5lMZLM=', 'x-amz-request-id': '8GDREMEWFP2S0RDG', 'x-amz-replication-status': 'COMPLETED', 'Last-Modified': 'Thu, 24 Sep 2020 13:18:35 GMT', 'ETag': '""e153a08f49f256a021d075fcef6e5d12""', 'x-amz-version-id': '2egGS2Ri.C8RyJIq6ObkIyVk97CaQASE', 'Content-Type': 'application/javascript; charset=utf-8', 'Server': 'AmazonS3', 'Content-Encoding': 'gzip', 'Accept-Ranges': 'bytes', 'Date': 'Thu, 24 Sep 2020 20:21:14 GMT', 'Via': '1.1 varnish', 'Age': '24958', 'X-Served-By': 'cache-mia17631-MIA', 'X-Cache': 'HIT', 'X-Cache-Hits': '18663', 'X-Timer': 'S1600978875.889966,VS0,VE0', 'Cache-Control': 'private,max-age=14400', 'Vary': 'Accept-Encoding', 'abp': '78'}","{'Last-Modified': 'Thu, 24 Sep 2020 13:18:35 GMT', 'Cache-Control': 'private,max-age=14400'}"
,,https://cdn.taboola.com/libtrc/userx.20200924-16-RELEASE.es6.js,"{'Connection': 'keep-alive', 'Content-Length': '7751', 'x-amz-id-2': 'VOifI/K0M1RtEQMwUUMQStK8vh+VmWs46UPqmnBYsscOlHh15W8lCMQalcf930R5yvWNDmcJ9Zs=', 'x-amz-request-id': '03F3280ED8752C06', 'x-amz-replication-status': 'COMPLETED', 'Last-Modified': 'Thu, 24 Sep 2020 13:18:03 GMT', 'ETag': '""73a16bfd1b08288f5d370a51acf71941""', 'x-amz-version-id': 'mRZJBKbjJ7MLjtrGYivMyg8RruxdSY6W', 'Content-Type': 'application/javascript; charset=utf-8', 'Server': 'AmazonS3', 'Content-Encoding': 'gzip', 'Accept-Ranges': 'bytes', 'Date': 'Thu, 24 Sep 2020 20:21:15 GMT', 'Via': '1.1 varnish', 'Age': '24959', 'X-Served-By': 'cache-mia17639-MIA', 'X-Cache': 'HIT', 'X-Cache-Hits': '26300', 'X-Timer': 'S1600978875.447075,VS0,VE0', 'Cache-Control': 'private,max-age=14400', 'Vary': 'Accept-Encoding', 'abp': '78'}","{'Last-Modified': 'Thu, 24 Sep 2020 13:18:03 GMT', 'Cache-Control': 'private,max-age=14400'}"
,,https://sb.scorecardresearch.com/beacon.js,"{'Content-Type': 'application/x-javascript', 'Vary': 'Accept-Encoding', 'Content-Encoding': 'gzip', 'Expires': 'Fri, 25 Sep 2020 20:21:16 GMT', 'Date': 'Thu, 24 Sep 2020 20:21:16 GMT', 'Content-Length': '884', 'Connection': 'keep-alive', 'Cache-Control': 'private, no-transform, max-age=86400'}","{'Expires': 'Fri, 25 Sep 2020 20:21:16 GMT', 'Cache-Control': 'private, no-transform, max-age=86400'}"
,,https://10870841.collect.igodigital.com/collect.js,"{'Date': 'Thu, 24 Sep 2020 20:21:16 GMT', 'Content-Type': 'application/javascript', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'Last-Modified': 'Sun, 20 Sep 2020 02:30:03 GMT', 'Vary': 'Accept-Encoding', 'Content-Encoding': 'gzip'}","{'Last-Modified': 'Thu, 24 Sep 2020 18:46:35 GMT'}"
,,https://connect.facebook.net/signals/config/1613278598987210?v=2.9.25&r=stable,"{'content-security-policy': ""default-src * data: blob:;script-src *.facebook.com *.fbcdn.net *.facebook.net *.google-analytics.com *.virtualearth.net *.google.com 127.0.0.1:* *.spotilocal.com:* 'unsafe-inline' 'unsafe-eval' blob: data: 'self';style-src data: blob: 'unsafe-inline' *;connect-src *.facebook.com facebook.com *.fbcdn.net *.facebook.net *.spotilocal.com:* wss://*.facebook.com:* https://fb.scanandcleanlocal.com:* attachment.fbsbx.com ws://localhost:* blob: *.cdninstagram.com 'self' chrome-extension://boadgeojelhgndaghljhdicfkmllpafd chrome-extension://dliochdbjfkdbacpmhlcpmleaejidimm;report-uri https://www.facebook.com/csp/reporting/"", 'Cache-Control': 'public, max-age=1200', 'X-Frame-Options': 'DENY', 'Content-Encoding': 'gzip', 'X-XSS-Protection': '0', 'Strict-Transport-Security': 'max-age=31536000; preload; includeSubDomains', 'Content-Type': 'application/x-javascript; charset=utf-8', 'X-Content-Type-Options': 'nosniff', 'Expires': 'Sat, 01 Jan 2000 00:00:00 GMT', 'Vary': 'Accept-Encoding', 'Pragma': 'public', 'X-FB-Debug': 'LZfhvAxPBR6P7RoVYv3Xnve1jU0u39AbIQFYOTOI4wKzuSxWDjCkQK5Eqvpwha5T2M8WSBUFQVNIJSI1MoHolg==', 'X-FB-TRIP-ID': '420120009', 'Date': 'Thu, 24 Sep 2020 20:21:17 GMT', 'Alt-Svc': 'h3-29="":443""; ma=3600,h3-27="":443""; ma=3600', 'Connection': 'keep-alive', 'Content-Length': '70303'}","{'Cache-Control': 'public, max-age=1200', 'Expires': 'Sat, 01 Jan 2000 00:00:00 GMT'}"
,,https://connect.facebook.net/en_US/fbevents.js,"{'content-security-policy': ""default-src * data: blob:;script-src *.facebook.com *.fbcdn.net *.facebook.net *.google-analytics.com *.virtualearth.net *.google.com 127.0.0.1:* *.spotilocal.com:* 'unsafe-inline' 'unsafe-eval' blob: data: 'self';style-src data: blob: 'unsafe-inline' *;connect-src *.facebook.com facebook.com *.fbcdn.net *.facebook.net *.spotilocal.com:* wss://*.facebook.com:* https://fb.scanandcleanlocal.com:* attachment.fbsbx.com ws://localhost:* blob: *.cdninstagram.com 'self';"", 'Cache-Control': 'public, max-age=1200', 'X-Frame-Options': 'DENY', 'Content-Encoding': 'gzip', 'X-XSS-Protection': '0', 'Strict-Transport-Security': 'max-age=31536000; preload; includeSubDomains', 'Content-Type': 'application/x-javascript; charset=utf-8', 'X-Content-Type-Options': 'nosniff', 'Expires': 'Sat, 01 Jan 2000 00:00:00 GMT', 'Vary': 'Accept-Encoding', 'Pragma': 'public', 'X-FB-Debug': '/iKBXhGhnWkCzD2RWi/gRnTMy0rrxXJ7vq7+OncgqLdIvnMLoCafNUCYHovloIWLKTGPkvteFc2efwxkGLQhLA==', 'X-FB-TRIP-ID': '420120009', 'Date': 'Thu, 24 Sep 2020 20:21:18 GMT', 'Alt-Svc': 'h3-29="":443""; ma=3600,h3-27="":443""; ma=3600', 'Connection': 'keep-alive', 'Content-Length': '23070'}","{'Cache-Control': 'public, max-age=1200', 'Expires': 'Sat, 01 Jan 2000 00:00:00 GMT'}"
