Site,# of JS files,JavaScript Files,Full JavaScript Headers,Headers
https://baidu.com,15,,,
,,https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/js/components/qrcode-da919182da.js,"{'Server': 'JSP3/2.0.14', 'Date': 'Sat, 05 Sep 2020 21:37:19 GMT', 'Content-Type': 'application/x-javascript', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'Content-Encoding': 'gzip', 'ETag': 'W/""5ec3a791-863""', 'Last-Modified': 'Tue, 19 May 2020 09:32:01 GMT', 'Expires': 'Wed, 16 Sep 2020 10:48:56 GMT', 'Age': '1680488', 'Accept-Ranges': 'bytes', 'Cache-Control': 'max-age=2592000', 'Vary': 'Accept-Encoding', 'Ohc-Cache-HIT': 'sfo01-sys-jorcol04.sfo01.baidu.com [4]', 'Ohc-Response-Time': '1 0 0 0 0 0'}","{'Last-Modified': 'Tue, 19 May 2020 09:32:01 GMT', 'Expires': 'Wed, 16 Sep 2020 10:48:56 GMT', 'Cache-Control': 'max-age=2592000'}"
,,https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/js/super_load-a97cbd2188.js,"{'Server': 'JSP3/2.0.14', 'Date': 'Sat, 05 Sep 2020 21:37:20 GMT', 'Content-Type': 'application/x-javascript', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'Content-Encoding': 'gzip', 'ETag': 'W/""5f48c1c3-6e3d""', 'Last-Modified': 'Fri, 28 Aug 2020 08:35:15 GMT', 'Expires': 'Sun, 27 Sep 2020 09:54:13 GMT', 'Age': '733389', 'Accept-Ranges': 'bytes', 'Cache-Control': 'max-age=2592000', 'Vary': 'Accept-Encoding', 'Ohc-Cache-HIT': 'sfo01-sys-jorcol07.sfo01.baidu.com [4]', 'Ohc-Response-Time': '1 0 0 0 0 0'}","{'Last-Modified': 'Fri, 28 Aug 2020 08:35:15 GMT', 'Expires': 'Sun, 27 Sep 2020 09:54:13 GMT', 'Cache-Control': 'max-age=2592000'}"
,,https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/js/components/tips-ea5054c58d.js,"{'Server': 'JSP3/2.0.14', 'Date': 'Sat, 05 Sep 2020 21:37:24 GMT', 'Content-Type': 'application/x-javascript', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'ETag': 'W/""5f350ce1-18d""', 'Last-Modified': 'Thu, 13 Aug 2020 09:50:25 GMT', 'Expires': 'Sat, 12 Sep 2020 11:04:52 GMT', 'Age': '2025152', 'Cache-Control': 'max-age=2592000', 'Ohc-Cache-HIT': 'sfo01-sys-jorcol02.sfo01.baidu.com [4]', 'Ohc-Response-Time': '1 0 0 0 0 0', 'Content-Encoding': 'gzip'}","{'Last-Modified': 'Thu, 13 Aug 2020 09:50:25 GMT', 'Expires': 'Sat, 12 Sep 2020 11:04:52 GMT', 'Cache-Control': 'max-age=2592000'}"
,,https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/plugins/swfobject_0178953.js,"{'Server': 'JSP3/2.0.14', 'Date': 'Sat, 05 Sep 2020 21:37:23 GMT', 'Content-Type': 'application/javascript', 'Content-Length': '3831', 'Connection': 'keep-alive', 'Content-Encoding': 'gzip', 'ETag': '""2400-5437207ef2880""', 'Last-Modified': 'Mon, 12 Dec 2016 08:38:42 GMT', 'Expires': 'Thu, 16 May 2030 06:38:33 GMT', 'Age': '9557930', 'Accept-Ranges': 'bytes', 'Cache-Control': 'max-age=315360000', 'Vary': 'Accept-Encoding,User-Agent', 'Ohc-Cache-HIT': 'iad01-sys-jomo0.iad01.baidu.com [4]', 'Ohc-Response-Time': '1 0 0 0 0 0'}","{'Last-Modified': 'Mon, 12 Dec 2016 08:38:42 GMT', 'Expires': 'Thu, 16 May 2030 06:38:33 GMT', 'Cache-Control': 'max-age=315360000'}"
,,https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/soutu/js/tu_3002cad.js,"{'Server': 'JSP3/2.0.14', 'Date': 'Sat, 05 Sep 2020 21:37:24 GMT', 'Content-Type': 'application/javascript', 'Content-Length': '5901', 'Connection': 'keep-alive', 'Content-Encoding': 'gzip', 'ETag': '""3a76-5a921f9a665c0""', 'Last-Modified': 'Sun, 28 Jun 2020 09:57:51 GMT', 'Expires': 'Wed, 26 Jun 2030 10:49:59 GMT', 'Age': '6000445', 'Accept-Ranges': 'bytes', 'Cache-Control': 'max-age=315360000', 'Vary': 'Accept-Encoding,User-Agent', 'Ohc-Cache-HIT': 'iad01-sys-jomo8.iad01.baidu.com [4]', 'Ohc-Response-Time': '1 0 0 0 0 0'}","{'Last-Modified': 'Sun, 28 Jun 2020 09:57:51 GMT', 'Expires': 'Wed, 26 Jun 2030 10:49:59 GMT', 'Cache-Control': 'max-age=315360000'}"
,,https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/amd_modules/@baidu/search-sug_76340ce.js,"{'Server': 'JSP3/2.0.14', 'Date': 'Sat, 05 Sep 2020 21:37:25 GMT', 'Content-Type': 'application/javascript', 'Content-Length': '11841', 'Connection': 'keep-alive', 'Content-Encoding': 'gzip', 'ETag': '""9637-5ae505937d040""', 'Last-Modified': 'Wed, 02 Sep 2020 08:23:21 GMT', 'Expires': 'Sat, 31 Aug 2030 10:04:18 GMT', 'Age': '300787', 'Accept-Ranges': 'bytes', 'Cache-Control': 'max-age=315360000', 'Vary': 'Accept-Encoding,User-Agent', 'Ohc-Cache-HIT': 'iad01-sys-jomo8.iad01.baidu.com [4]', 'Ohc-Response-Time': '1 0 0 0 0 0'}","{'Last-Modified': 'Wed, 02 Sep 2020 08:23:21 GMT', 'Expires': 'Sat, 31 Aug 2030 10:04:18 GMT', 'Cache-Control': 'max-age=315360000'}"
,,https://ss1.bdstatic.com/5eN1bjq8AAUYm2zgoY3K/r/www/cache/static/protocol/https/plugins/hotWord_cc828cc.js,"{'Server': 'JSP3/2.0.14', 'Date': 'Sat, 05 Sep 2020 21:37:26 GMT', 'Content-Type': 'application/javascript', 'Content-Length': '429', 'Connection': 'keep-alive', 'Content-Encoding': 'gzip', 'ETag': '""3cd-59de3ecf26980""', 'Last-Modified': 'Thu, 06 Feb 2020 08:19:02 GMT', 'Expires': 'Wed, 27 Feb 2030 05:31:09 GMT', 'Age': '16301177', 'Accept-Ranges': 'bytes', 'Cache-Control': 'max-age=315360000', 'Vary': 'Accept-Encoding,User-Agent', 'Ohc-Cache-HIT': 'iad01-sys-jomo3.iad01.baidu.com [4]', 'Ohc-Response-Time': '1 0 0 0 0 0'}","{'Last-Modified': 'Thu, 06 Feb 2020 08:19:02 GMT', 'Expires': 'Wed, 27 Feb 2030 05:31:09 GMT', 'Cache-Control': 'max-age=315360000'}"
,,https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/js/lib/jquery-1-edb203c114.10.2.js,"{'Server': 'JSP3/2.0.14', 'Date': 'Sat, 05 Sep 2020 21:37:27 GMT', 'Content-Type': 'application/x-javascript', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'Content-Encoding': 'gzip', 'ETag': 'W/""5e8c1c8a-23239""', 'Last-Modified': 'Tue, 07 Apr 2020 06:24:10 GMT', 'Expires': 'Sun, 04 Oct 2020 08:06:22 GMT', 'Age': '135065', 'Accept-Ranges': 'bytes', 'Cache-Control': 'max-age=2592000', 'Vary': 'Accept-Encoding', 'Ohc-Cache-HIT': 'sfo01-sys-jorcol06.sfo01.baidu.com [4]', 'Ohc-Response-Time': '1 0 0 0 0 0'}","{'Last-Modified': 'Tue, 07 Apr 2020 06:24:10 GMT', 'Expires': 'Sun, 04 Oct 2020 08:06:22 GMT', 'Cache-Control': 'max-age=2592000'}"
,,https://dss0.bdstatic.com/5aV1bjqh_Q23odCf/static/superman/js/lib/esl-ef22c5ed31.js,"{'Server': 'JSP3/2.0.14', 'Date': 'Sat, 05 Sep 2020 21:37:29 GMT', 'Content-Type': 'application/x-javascript', 'Transfer-Encoding': 'chunked', 'Connection': 'keep-alive', 'Content-Encoding': 'gzip', 'ETag': 'W/""5f041d92-3f60""', 'Last-Modified': 'Tue, 07 Jul 2020 07:00:34 GMT', 'Expires': 'Mon, 05 Oct 2020 08:07:56 GMT', 'Age': '48573', 'Accept-Ranges': 'bytes', 'Cache-Control': 'max-age=2592000', 'Vary': 'Accept-Encoding', 'Ohc-Cache-HIT': 'sfo01-sys-jorcol09.sfo01.baidu.com [4]', 'Ohc-Response-Time': '1 0 0 0 0 0'}","{'Last-Modified': 'Tue, 07 Jul 2020 07:00:34 GMT', 'Expires': 'Mon, 05 Oct 2020 08:07:56 GMT', 'Cache-Control': 'max-age=2592000'}"
